"",Name,Serving_Size,Protein,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Total Carbohydrates,Total Sugars,Added Sugars,Sodium
0,Veg Surprise Burger,132g,5.71g,14.95g,3.73g,0.14g,0.0mg,39.84g,5.66g,1.64g,504.19mg
1,McAloo Tikki Burger®,146g,8.50g,11.31g,4.27g,0.20g,1.47mg,50.27g,7.05g,4.07g,545.34mg
2,McVeggie®,168g,10.24g,13.83g,5.34g,0.16g,2.49mg,56.54g,7.90g,4.49g,706.13mg
3,McChicken®,173g,15.66g,15.70g,5.47g,0.16g,31.17mg,47.98g,5.53g,4.49g,766.33mg
4,Fillet-O-Fish®,136g,15.44g,14.16g,5.79g,0.21g,32.83mg,38.85g,5.58g,3.54g,530.54mg
5,McSpicy Paneer®,199g,20.29g,39.45g,17.12g,0.18g,21.85mg,52.33g,8.35g,5.27g,1074.58mg
6,McSpicy Chicken®,186g,21.46g,19.36g,7.63g,0.18g,66.04mg,46.08g,5.88g,4.49g,928.52mg
7,Spicy Paneer Wrap®,250g,20.96g,39.10g,19.73g,0.26g,40.93mg,59.278g,3.50g,1.08g,1087.46mg
8,Spicy Chicken Wrap®,257g,23.74g,26.89g,12.54g,0.27g,87.63mg,57.06g,2.52g,1.08g,1152.38mg
9,Veg Maharaja Mac®,306g,24.17g,37.94g,16.83g,0.28g,36.19mg,93.84g,11.52g,6.92g,1529.22mg
10,Chicken Maharaja Mac®,296g,34.00g,36.69g,10.33g,0.25g,81.49mg,55.39g,8.92g,6.14g,1854.71mg
11,McEgg®,115g,12.00g,10.00g,0.80g,0.10g,76.88mg,31.00g,5.00g,1.60g,675.00mg
12,Butter Paneer Grilled Burger,142g,12.85g,17.15g,8.29g,0.00g,6.62mg,44.12g,8.78g,5.08g,900.37mg
13,Butter Chicken Grilled Burger,153g,17.06g,14.41g,4.65g,0.00g,31.93mg,39.76g,6.55g,4.71g,919.59mg
14,Pizza McPuff®,87g,5.45g,11.44g,5.72g,0.09g,5.17mg,24.79g,2.73g,0.35g,390.74mg
15,Chicken McNuggets®,64g | 96g | 144g | 320g,10.03g15.04g22.56g47.60g,9.544g14.30g21.46g46.90g,4.45g6.68g10.02g21.11g,0.06g0.10g0.14g0.30g,24.66mg36.99mg55.48mg115.00mg,10.50g15.74g23.62g49.88g,0.32g0.48g0.72g1.70g,0.00g0.00g0.00g0.00g,313.25mg469.87mg704.81mg1490.00mg
16,Our World Famous Fries®,77g | 109g | 154g,3.38g4.79g6.76g,10.39g14.70g20.77g,4.97g7.04g9.95g,0.08g0.11g0.15g,0.77mg1.09mg1.54mg,27.08g38.34g54.16g,0.39g0.55g0.77g,0.00g0.00g0.00g,153.15mg216.79mg306.29mg
17,Pizza McPuff®,87g,5.45g,11.44g,5.72g,0.09g,5.17mg,24.79g,2.73g,0.35g,390.74mg
18,Chicken McNuggets®,64g | 96g | 144g | 320g,10.03g15.04g22.56g47.60g,9.544g14.30g21.46g46.90g,4.45g6.68g10.02g21.11g,0.06g0.10g0.14g0.30g,24.66mg36.99mg55.48mg115.00mg,10.50g15.74g23.62g49.88g,0.32g0.48g0.72g1.70g,0.00g0.00g0.00g0.00g,313.25mg469.87mg704.81mg1490.00mg
19,Our World Famous Fries®,77g | 109g | 154g,3.38g4.79g6.76g,10.39g14.70g20.77g,4.97g7.04g9.95g,0.08g0.11g0.15g,0.77mg1.09mg1.54mg,27.08g38.34g54.16g,0.39g0.55g0.77g,0.00g0.00g0.00g,153.15mg216.79mg306.29mg
20,Pizza McPuff®,87g,5.45g,11.44g,5.72g,0.09g,5.17mg,24.79g,2.73g,0.35g,390.74mg
21,Chicken McNuggets®,64g | 96g | 144g | 320g,10.03g15.04g22.56g47.60g,9.544g14.30g21.46g46.90g,4.45g6.68g10.02g21.11g,0.06g0.10g0.14g0.30g,24.66mg36.99mg55.48mg115.00mg,10.50g15.74g23.62g49.88g,0.32g0.48g0.72g1.70g,0.00g0.00g0.00g0.00g,313.25mg469.87mg704.81mg1490.00mg
22,McFlurry (Oreo)®,86.79g | 147.38g,2.05g3.58g,3.70g6.81g,2.25g4.07g,0.07g0.12g,4.80mg8.00mg,18.69g33.42g,14.49g25.35g,10.80g19.23g,80.73mg150.90mg
23,McFlurry (Choco Crunch)®,94.29g | 167.38g,2.62g10.99g,5.39g19.68g,3.91g13.80g,0.07g0.21g,5.37mg11.06mg,23.67g117.78g,17.36g66.93g,13.04g54.51g,57.80mg295.89mg
24,Soft Serve Cone®,81.29g,1.99g,1.82g,1.31g,0.05g,4.75mg,15.23g,10.68g,6.99g,40.78mg
25,McSwirl Chocolate®,93.29g,2.71g,7.14g,5.25g,0.07g,5.71mg,20.92g,15.39g,11.31g,51.31mg
26,Sundae (Chocolate)®,91.79g | 132.08g,2.25g3.49g,4.02g6.87g,3.01g5.16g,0.08g0.13g,5.85mg8.55mg,19.11g30.42g,17.07g27.01g,10.78g16.90g,65.56mg110.39mg
27,Sundae (Strawberry)®,91.79g | 132.08g,1.54g2.05g,1.77g2.36g,1.30g1.74g,0.06g0.10g,4.85mg6.55mg,19.78g31.77g,17.66g28.20g,12.49g20.32g,34.51mg48.28mg
28,Sundae (Chocolate Brownie)®,110.79g | 155.08g,3.20g4.65g,5.45g7.46g,3.65g4.71g,0.10g0.13g,6.04mg7.78mg,35.26g55.24g,20.75g27.94g,14.39g20.28g,100.89mg146.40mg
29,Black Coffee®,200ml,0.00g,0.00g,0.00g,0.00g,0.00mg,1.70g,0.00g,0.00g,0.00mg
30,Cold Coffee®,250ml,9.75g,11.15g,7.45g,0.00g,27.40mg,40.20g,37.50g,21.25g,175.00mg
31,Iced Tea®,400ml,1.08g,0.12g,0.00g,0.00g,0.00mg,59.28g,58.08g,55.16g,16.68mg
32,Cold Coffee Mcfloat®,270ml,5.91g,7.18g,4.89g,0.00g,15.81mg,45.44g,36.18g,19.98g,173.59mg
33,Masala Chai®,90ml | 150ml,0.80g1.37 g,0.85g1.46g,0.51g0.87g,0.02g0.04g,0.00mg0.00mg,11.02g18.90g,8.79g15.06g,7.98g13.68g,4.13mg7.08mg
